"NC Code","Supplier","Brand Name","Age","Proof","Bottle Size","Retail Bottle Price","Mixed Beverage Price",
66-446,"Call Family Distillers","Forbidden Fire Cinnamon Liqueur","","70",".75L","$27.85","$31.60",
66-447,"Call Family Distillers","Forbidden Fire Cinnamon Liqueur","","70",".375L","$13.15","$15.03",
66-448,"Call Family Distillers","The Reverend Coffee Liqueur","","32",".75L","$25.35","$29.10",
66-449,"Call Family Distillers","The Reverend Coffee Liqueur","","32",".375L","$13.15","$15.03",
66-450,"Call Family Distillers","The Reverend Sour Mash Whiskey","004Y","86",".75L","$35.15","$38.90",
66-451,"Call Family Distillers","The Reverend Apple Liqueur Whiskey","","65",".75L","$27.85","$31.60",
66-461,"Fainting Goat Spirits","Tiny Cat Vodka","","80",".75L","$29.95","$33.70",
66-464,"Fainting Goat Spirits","Emulsion Gin","","91",".75L","$32.95","$36.70",
66-465,"Fainting Goat Spirits","CB Fisher's Straight Rye Whiskey","003Y","92.3",".75L","$44.95","$48.70",
66-466,"Fainting Goat Spirits","CB Fisher's Am Single Malt Whiskey","003Y","86.8",".75L","$41.95","$45.70",
66-467,"Fainting Goat Spirits","CB Fisher's Bottled In Bond Bourbon","004Y","100",".75L","$49.95","$53.70",
66-472,"Barrister&Brewer/Next Century Spirits","Bear Fight American Whiskey","","90",".75L","$39.95","$43.70",
66-477,"Graybeard Distillery","Bedlam Vodka","","80","1.75L","$38.35","$47.10",
66-478,"Graybeard Distillery","Bedlam Vodka","","80",".75L","$20.15","$23.90",
66-482,"Scotts Point Distillery","Pamlico Rum","","80",".375L","$17.95","$19.83",
66-487,"Apothecary Beverage Co.","Chemist Gin","","90",".75L","$35.95","$39.70",
66-489,"Apothecary Beverage Co.","Chemist Barrel Rested Gin","","90",".75L","$39.95","$43.70",
66-490,"Apothecary Beverage Co.","Chemist Navy Strength Gin","","114",".75L","$42.95","$46.70",
66-492,"Apothecary Beverage Co.","Wiley Vodka","","80",".75L","$20.95","$24.70",
66-496,"Oak & Grist Distilling Co.","Malt Whiskey","","101",".75L","$64.35","$68.10",
66-497,"Oak & Grist Distilling Co.","Malt Whiskey","","101",".375L","$35.15","$37.03",
66-499,"Oak & Grist Distilling Co.","Blended Malt Release No. 07","","100",".375L","$28.15","$30.03",
66-500,"Oak & Grist Distilling Co.","Oak & Grist Single Malt Whiskey","003Y","92.5",".75L","$77.35","$81.10",
66-502,"Oak & Grist Distilling Co.","Dark Rhythm Gin","","90",".75L","$34.35","$38.10",
66-511,"Kitty Hawk Stills","First Flight Vodka","","80",".75L","$20.15","$23.90",
66-514,"Elevated Mountain Distilling Co.","Raymond Fairchild Root Beer White Lightning","","70",".75L","$25.15","$28.90",
66-515,"Elevated Mountain Distilling Co.","Purchase Knob Unaged Corn Whiskey","","88",".75L","$29.15","$32.90",
66-516,"Elevated Mountain Distilling Co.","Shining Rock Peach Pie Corn Whiskey","","50",".75L","$25.15","$28.90",
66-517,"Elevated Mountain Distilling Co.","Hurricane Creek Vodka","","80",".75L","$22.15","$25.90",
66-518,"Elevated Mountain Distilling Co.","Purchase Knob Oak Reserve Whiskey","001Y","88",".75L","$37.15","$40.90",
66-523,"South Mountain Distilling","Purple Jesus","","64",".75L","$25.35","$29.10",
66-524,"South Mountain Distilling","Cherry Bounce Moonshine","","60",".75L","$25.35","$29.10",
66-525,"South Mountain Distilling","Kelly's Moonarita Moonshine","","45",".75L","$25.35","$29.10",
66-526,"South Mountain Distilling","JB Rader's 103","","103",".75L","$25.35","$29.10",
66-527,"South Mountain Distilling","JB Rader's Honeycrisp Apple Moonshine","","60",".75L","$25.35","$29.10",
66-530,"South Mountain Distilling","Sinister Whiskey","001Y","100",".75L","$35.35","$39.10",
66-531,"South Mountain Distilling","Colt Ford Southern Sweet Tea","","60",".75L","$25.35","$29.10",
66-533,"South Mountain Distilling","SIN A Shine","","70",".75L","$25.35","$29.10",
66-534,"South Mountain Distilling","Dignified","001Y","90",".75L","$50.35","$54.10",
66-535,"South Mountain Distilling","Pineapple Upside Down Cake","","50",".75L","$25.35","$29.10",
66-546,"WRC Distillery","Killer Bee","","80",".75L","$38.35","$42.10",
66-547,"WRC Distillery","Shadow Hawk","","90",".75L","$35.35","$39.10",
66-548,"WRC Distillery","White Widow","","80",".75L","$29.35","$33.10",
66-558,"Warehouse Distillery","Boundary Street Bourbon","002Y","80",".75L","$34.95","$38.70",
66-559,"Warehouse Distillery","Boundary Street Rye Whiskey","011M","90",".75L","$34.95","$38.70",
66-560,"Warehouse Distillery","Warehouse Distillery Maple Whiskey","","60",".75L","$32.95","$36.70",
66-566,"Murto Made","Banana Fosters Flv Rum","","80",".75L","$25.35","$29.10",
66-568,"Murto Made","Murto Made Vodka","","80",".75L","$28.35","$32.10",
66-575,"Soulshine","Steve’s Soulshine’s Brown Liquor","","100",".75L","$28.20","$31.95",
66-576,"Soulshine","Steve's Soulshine Apple","","100",".75L","$28.20","$31.95",
66-577,"Soulshine","Steve's Soulshine Blueberry","","100",".75L","$28.20","$31.95",
66-583,"The Hackney Distillery","1000 Piers Gin","","88",".75L","$35.35","$39.10",
66-584,"The Hackney Distillery","1000 Piers Blueberry Gin","","88",".75L","$39.95","$43.70",
66-586,"End of Days Distillery","End of Days Cargo Mule RTD","","20","1.00L","$22.95","$27.95",
66-587,"End of Days Distillery","End of Days Hurricane RTD","","20","1.00L","$22.95","$27.95",
66-588,"End of Days Distillery","End of Days Gin & Tonic RTD","001M","20","1.00L","$22.95","$27.95",
66-590,"Gold Leaf Distilling Co.","Gold Leaf Vodka","","80",".75L","$12.40","$16.15",
66-592,"End of Days Distillery","End of Days Trilogy Pk","","82","2.25L","$85.85","$97.10",
66-593,"End of Days Distillery","End of Days Vodka","001M","82",".75L","$27.95","$31.70",
66-595,"End of Days Distillery","End of Days Rum","001M","82",".75L","$23.95","$27.70",
66-596,"End of Days Distillery","End of Days Barrel Rested Rum","","84",".75L","$34.95","$38.70",
66-597,"End of Days Distillery","End of Days Gin","","80",".75L","$34.95","$38.70",
66-598,"End of Days Distillery","End of Days Barrel Rested Gin","","90",".75L","$42.95","$46.70",
66-599,"End of Days Distillery","End of Days Vodka","","82","200ML","$11.95","$12.95",
66-600,"Outer Banks Craft Distilling","Kill Devil Rum","","80",".75L","$24.95","$28.70",
66-601,"End of Days Distillery","End of Days Gin","","80","200ML","$12.95","$13.95",
66-602,"End of Days Distillery","End of Days Rum","","82","200ML","$10.95","$11.95",
66-603,"Outer Banks Craft Distilling","Kill Devil Pecan Rum","","80",".75L","$29.95","$33.70",
66-605,"Outer Banks Craft Distilling","Kill Devil Gold Rum","001Y","80",".75L","$32.95","$36.70",
66-616,"The Beesiness Distillery","Stainless Still Distillery Rum","","80",".75L","$30.15","$33.90",
66-628,"Gunpowder Creek Distillers","Stillhouse Forty-Four Whiskey","002M","88",".75L","$25.35","$29.10",
66-629,"Gunpowder Creek Distillers","Stillhouse Forty-Four Blackberry Bourbon Liqueur","","60",".75L","$27.35","$31.10",
66-639,"McFarms Blueberries","McFarms Blueberry Brandy","","100",".75L","$25.20","$28.95",
66-641,"McFarms Blueberries","McFarms Peach Brandy","","100",".75L","$25.20","$28.95",
66-643,"McFarms Blueberries","McFarms Strawberry Brandy","","100",".75L","$25.20","$28.95",
66-648,"Cape Fear Distillery","GameFish Vodka","","80",".75L","$19.95","$23.70",
66-649,"Cape Fear Distillery","Solera Whiskey","005Y","90",".75L","$49.95","$53.70",
66-650,"Cape Fear Distillery","Cape Fear Distillery Maritime Gin","","80",".75L","$24.95","$28.70",
66-651,"Cape Fear Distillery","Cape Fear Distillery Rum","","80",".75L","$24.95","$28.70",
66-652,"Cape Fear Distillery","Frying Pan Shoals Bourbon","003Y","94",".75L","$39.95","$43.70",
66-672,"Instill Distilling","Instill Distilling Spiced Rum","","80",".75L","$25.15","$28.90",
66-673,"Instill Distilling","Instill Distilling Aeva Rum","","86",".75L","$32.15","$35.90",
66-675,"Instill Distilling","Instill Distilling White Rum","","80",".75L","$22.15","$25.90",
66-683,"Apothecary Beverage Co.","Chemist Chocolate Orange Gin Liqueur","","60",".75L","$39.95","$43.70",
66-698,"Barrister&Brewer/Next Century Spirits","Creek Water Cinnamon Whiskey","","70","50ML","$1.45","$1.70",
66-699,"Barrister&Brewer/Next Century Spirits","Creek Water American Whiskey","","100","50ML","$1.95","$2.20",
66-700,"Raleigh Rum Company","Oak City Amaretto","","54",".75L","$25.50","$29.25",
66-702,"Raleigh Rum Company","Raleigh Rum Co. White Rum","","82",".75L","$22.50","$26.25",
66-705,"Raleigh Rum Company","Raleigh Rum Co. Spiced Rum","","82",".75L","$24.95","$28.70",
66-706,"Raleigh Rum Company","Raleigh Rum Co. Sweet Dark Rum","","80",".75L","$24.95","$28.70",
66-707,"Raleigh Rum Company","Carolina Reaper Pepper Rum","","80",".375L","$14.95","$16.83",
66-713,"Holman Distillery","Holman's Applejohn Applejack","","39.8",".75L","$25.95","$29.70",
